Position,Frame,mean_curved,volume_curved,mean_background,mean_mip,volume_mip
11,100,135.1641283511599,179975,140.47694524495677,60402.33158750724,36277
12,100,132.85542598974982,167997,135.9931073710978,61335.81985222633,30858
13,100,132.30526037935064,265190,138.76225645354154,56318.40587041902,76894
14,100,134.35904543453972,236296,142.09424830750294,58790.888281669955,55810
16,100,128.92821360259197,153706,137.39088150089668,58965.8138709409,36061
17,100,128.43152225414286,166733,136.76391269199678,59423.64893892712,34729
19,100,134.56472151977155,177553,138.42870989931836,57181.0358714587,43628
1,100,133.5854664348352,264560,138.82346563590082,58394.229436144255,59838
20,100,125.9735128515014,247403,132.45621390911373,59447.244659259726,47793
21,100,129.9243646509371,181357,137.07891545660894,59178.22739910106,43162
22,100,129.37308389413317,174899,135.8064846980976,57026.61778785588,51597
23,100,128.65649084476692,199558,136.59683565275017,57800.76409730429,44849
24,100,131.97192730750837,230010,142.03669680990672,60071.00860013009,41511
25,100,134.1486938227626,154956,138.36271339399863,60765.2053527832,32768
26,100,134.24609501105067,201345,140.8666359021689,60229.811648832685,41120
27,100,133.03947282626413,245384,142.29003359462487,58722.11068858285,56275
28,100,131.22226616921296,169396,141.00676856707204,60982.86316495681,35773
29,100,131.93846224497997,174202,140.13291055621613,60528.54978164659,34119
2,100,121.23709815622703,229909,115.17848297965328,54808.25738284427,63932
30,100,131.15703102477102,225465,141.39502955927264,58570.74770897488,53906
31,100,132.78464652305914,172925,141.37166383646792,57180.32175700301,47194
32,100,135.39377349077,150325,142.40346626910176,60978.339327895184,31751
33,100,135.99599495771628,201496,145.4257317738319,59652.94194977148,42446
34,100,130.5288134853368,274906,138.89398823343777,56381.53351794685,66084
35,100,131.40494242039262,244010,140.12773579236867,58367.00412292422,52390
36,100,133.95461123382216,170681,139.68938112412627,59370.192297531335,34067
37,100,132.78395587114764,246732,142.34967688711674,57740.19324282233,54579
38,100,133.2631700277555,216894,136.08283349607106,56297.50637377843,57815
40,100,127.29548888577348,256788,140.13595202835572,58589.21779058403,59346
41,100,132.56272044817928,223125,145.46796875,59660.285158626684,46020
42,100,132.80482494477377,251692,147.59486465660808,58167.395334886016,56676
43,100,131.7467388012157,95747,139.04156050955413,51286.828744855964,48600
44,100,128.1562539753807,267270,139.84741494127618,52615.74075665382,86116
45,100,128.1468219226055,171330,142.62936305732484,58230.894818845634,43002
46,100,125.29348047934222,342970,131.20581139422669,54715.6214176877,95818
47,100,131.9838132965386,269604,143.77623509369676,57982.70550840872,64338
48,100,124.55186371193228,211728,136.47135031736372,60238.89228436737,42213
49,100,134.7514638532801,191276,150.10053366567604,60360.722164194696,38296
4,100,131.73133868616137,194788,137.7759804941869,60834.45764497173,36076
50,100,126.49897004976432,250983,139.74900464499004,56847.55564173316,67045
51,100,130.24855263494663,195355,150.69725276408073,59305.823584007034,40943
52,100,129.63197832344554,147994,143.18353192246133,58045.07021888481,37554
55,100,128.43861960242305,185222,144.38039312646805,60870.823600829135,33770
56,100,133.57886205302017,196793,148.3768368980067,60391.393080131966,36677
57,100,130.53802839625686,247920,148.12699376782507,59632.27704111745,50830
58,100,135.181275579809,175920,151.83587798632047,61065.84519449069,33035
5,100,136.92284914119807,155682,136.17747463208119,58713.912328917715,36386
60,100,126.75544993632865,211241,140.3117745491248,58411.20492988744,47709
61,100,130.295807541302,167849,145.62456670213132,57425.49715827992,38533
62,100,129.91678641052158,218522,145.70386501297952,60903.24642504931,40560
63,100,128.5250444209532,177844,144.10903701835153,59884.554655985456,35202
64,100,132.99285841537377,258206,150.8377863056018,58759.854976684896,59618
65,100,127.59882734145965,162025,144.58671613298276,60695.54982563981,33838
66,100,133.3005191093747,276435,151.42354855970748,58127.17504915817,65096
6,100,127.25343881926669,300830,129.58241197148524,52665.99271680378,104899
7,100,132.230602619709,184677,132.43883359117314,56991.65027818781,52842
8,100,129.15090559487936,309962,128.05843379398218,54573.22467258042,93229
9,100,131.0780356581841,254640,134.01339404013393,56184.16013160195,62917
11,101,135.59066487575555,184636,140.18961617989143,60522.12556999544,35088
12,101,133.8750962129548,193581,135.7464493597206,55520.0890888592,47896
13,101,130.00668009716506,274996,136.55899171431906,57160.24247393522,66469
14,101,129.13285096575865,276829,134.39783542965145,56523.7077413207,70311
16,101,127.56511713109632,139203,137.52377982871872,59676.46026972563,32255
17,101,128.00340001365467,146470,135.91676498108296,60358.62790843524,31890
19,101,133.758224393047,180986,140.0374848097716,59618.92656447902,38687
1,101,128.53160056107896,275897,130.79248881723848,54079.32179334545,95754
20,101,131.7864404882836,232324,140.74283892077753,59177.123684101025,48066
21,101,128.66907498631636,182700,134.8055425229114,59908.904611965176,37793
22,101,130.59423781075353,197182,136.75988643858793,55385.69846328553,54597
23,101,130.0020648256943,203407,138.2882698492863,56430.71328946076,50905
24,101,131.70752722385734,238853,138.09423205074413,59297.440106437694,44721
25,101,131.56647068284576,167871,135.62047954680193,58881.10281601212,39595
26,101,133.41593818984546,203850,141.4795932858076,59502.28795334427,43896
27,101,127.726446376167,251819,135.2763087637841,59003.08365230039,52252
28,101,131.2550197699407,200557,140.10697633240866,60088.898090413095,41056
29,101,131.62529183761362,176468,140.29591214154973,60570.01448269881,34593
2,101,122.56008260758196,187392,114.12863152359668,57095.20511897908,41688
30,101,129.60251962195485,294568,135.97195487943702,56580.12204597431,68212
31,101,130.73755736069546,175425,139.5566705637828,58308.28208629819,41739
32,101,135.82986044960944,167968,143.33441792072082,59636.938009740916,34699
33,101,131.84569493240943,205502,141.57326968973746,56805.72044433138,58965
34,101,130.41396041016858,245265,141.38881470426517,59013.17256862229,57015
35,101,129.4194691238737,254598,137.1348493728754,56650.244292686126,61062
36,101,134.86011914159116,190026,138.97858137090589,53827.181722141824,69100
37,101,131.0516881657479,254507,139.30825163398694,59313.24622021992,52384
38,101,131.28669915421543,192484,136.5347141107091,54753.29641577061,64170
40,101,131.40931683071824,266786,148.24541775767673,57368.85692693262,77408
41,101,130.81110087035842,210488,145.01808874701635,61007.401726065145,38469
42,101,130.12549003425082,266563,143.8517799801326,58927.70810050698,54046
43,101,132.330386240043,200989,145.32408775402112,58524.14622279129,46860
44,101,128.76618446626725,274229,140.91372117007313,52917.100630535795,94047
45,101,131.29771646487046,152877,150.59294602641424,60179.59362608747,33794
46,101,127.97297406736816,345742,137.48661430446467,57972.74399827889,79019
47,101,131.4632390353109,275156,143.33820685551566,54324.169396523524,91702
48,101,127.8611319517045,243915,138.29391583364185,59453.15669727988,45623
49,101,131.76433588990037,223216,143.70944609949646,57069.76947209653,49725
4,101,130.5545723985558,185570,133.1970789367825,58309.02560237471,43121
50,101,126.51274345489222,259545,141.8209860542278,59177.26963918084,55374
51,101,128.07697053593185,192879,146.84864029666255,58648.410636111854,44772
52,101,127.86553678950493,153291,139.9942347098253,58859.70860812718,34723
55,101,130.01971197706243,184152,145.55361166750126,61129.56672118238,33018
56,101,127.73815083550706,175582,138.48767141135468,55457.39359742411,64599
57,101,128.70485548970197,284132,144.90664212815793,57028.637134075376,67022
58,101,136.05152132862892,173171,152.0071211609855,60172.668956528825,36829
5,101,131.32430211883718,155793,129.94779605931342,59436.614598620996,36113
60,101,128.5870411529699,215513,141.41883405654528,59223.6661233168,42330
61,101,131.43441449773198,181656,145.79181827121644,60190.87483465122,34019
62,101,128.16605763415313,276121,142.16052288680592,56857.93489003447,65566
63,101,127.20924391015501,158050,145.29806349326185,60833.42154770849,33275
64,101,133.39587694447115,270382,151.769651659159,59831.54797298554,53749
65,101,133.51486617712845,183302,151.68218328423012,60481.1684465884,35863
66,101,128.46424322085107,321058,143.87143084071323,57354.816827522634,73772
6,101,127.23637096926655,317374,127.81642813948801,52721.62371864182,119307
7,101,126.87419212828534,213524,126.72024780746482,51952.79154860601,85761
8,101,130.60539716700737,249983,130.90026495079485,59914.67068407764,50696
9,101,127.1045463251554,287155,129.06516928295176,54559.698522602914,95032
11,102,135.26687305252756,198334,139.41148297412533,57885.635676524915,47101
12,102,133.74935818609367,185412,135.50936687681138,54110.99407821058,65183
13,102,130.63213114044112,277077,137.41704537669278,56108.901317931515,70641
14,102,131.38908558616686,247984,138.5389856570959,57888.23525427009,62001
16,102,132.945715937181,162626,142.19802673010986,60102.88498976998,32258
17,102,129.5059738223818,173507,134.62042351720336,58550.846547248184,38520
19,102,130.1578988834864,177696,133.31435357354917,58541.809753034744,43002
1,102,133.39305344679448,254889,139.94781296335523,60778.06582011038,46384
20,102,130.82691325151131,268143,138.1998770687732,58911.666619581534,56635
21,102,133.80026060778528,200301,137.34241234376728,52102.81228751476,70299
