Position,Frame,mean_curved,volume_curved,mean_background,mean_mip,volume_mip
10,100,159.04631584914753,282236,180.5668690284075,60752.94944273946,49528
10,101,160.38130125751778,246915,185.962986803991,60749.39914264365,50854
10,102,160.17549696795092,284626,179.9337876295658,60741.19286090673,51239
10,103,158.65668170760262,251979,183.1868578255675,60735.27045204182,51743
10,104,157.247346057494,289004,176.83449405981156,60758.92650908604,52333
10,105,156.3899790890675,306060,181.10124325127543,60608.56779134376,54712
10,106,156.38718911792347,301119,181.23338857917733,60742.31882507057,54199
10,107,159.4313195939711,325100,172.7859408975867,59285.58512338895,60054
10,108,156.0165783073221,308777,182.82095082282746,60677.13921628793,55403
10,109,151.2387379558797,339481,171.35055426444276,60688.61300865567,55686
10,11,167.24136291062268,29437,192.77826725403818,59092.70934683294,8099
10,110,158.42534760113492,311564,182.3407013267076,60703.30373679641,55288
10,111,156.97598342212797,309328,177.19813166845267,60764.44594790421,55206
10,112,155.14716140529532,314240,178.21076448405896,60706.06021831851,55332
10,113,154.74354993364196,314958,176.67003504938776,60751.23939820835,55368
10,114,155.08567361119822,318908,179.07524646077653,60762.62665846109,55247
10,115,155.19107338037276,349494,177.88560573210268,60810.18384467442,54595
10,116,152.1251701126922,335072,172.47043726011916,60579.902434062074,54066
10,117,154.22326799278417,331494,172.70390725824396,60728.33051190591,51865
10,118,152.16140619859956,340464,171.25798559195323,60780.48758707924,52969
10,119,146.54004595938028,344217,167.61541421457673,60691.101079292945,59854
10,12,166.60135541774602,38217,188.7739637861495,59466.01143338549,8309
10,120,143.17928090969005,382372,156.0015539829779,59112.07791318423,64251
10,121,153.71257886659467,351860,173.01293060242574,57563.96160530031,73656
10,122,148.1431829334362,352549,174.44228626362823,60624.55141032971,62964
10,123,146.54169430589664,394970,172.41617405427866,60532.35935672058,64109
10,124,144.07814906087475,378597,158.023534530496,58778.539483795146,66369
10,125,143.68675491427635,402806,163.15631683614123,60632.568624352,63272
10,126,147.87044907615123,367755,172.93456539039704,60655.94303128685,65299
10,127,146.2874905503654,428588,166.88241922221883,56498.35971596375,79004
10,128,139.30506035074018,399498,153.613345066381,57233.77285745759,72624
10,129,142.97981346204017,367968,175.98936240647967,60615.13381515889,64477
10,13,166.30357338895598,36436,189.55735968937523,59321.01992709599,8230
10,130,141.30942569996193,425666,168.28344903178663,56225.23891439838,75571
10,131,144.8061273697624,371187,176.52526573998364,57911.45702503146,65957
10,132,146.66134178488167,328145,168.1183286908078,59645.28321172681,60852
10,133,142.52180150382682,401509,154.76443560939933,60436.83816417486,63274
10,134,144.7260969510193,395870,157.91017300230476,57143.00141283623,72903
10,135,140.19253772071028,399449,160.5595238095238,57955.707582008596,69322
10,136,136.96495212570727,405959,156.0633275429454,60333.10425528694,66059
10,137,139.61330762636806,351137,158.51964929458364,60593.128885708065,64274
10,138,141.79348194286524,380819,164.54347579960373,58925.210638587574,66099
10,139,139.45834877826422,399268,162.48438005057707,60567.64092615965,64179
10,14,169.66340754111513,39888,194.7066112333904,58751.15896528852,9046
10,140,136.1938288190954,319323,150.47380946353073,60330.52807454891,67392
10,141,137.6211949831122,380156,150.54064221814087,57773.40487988197,71846
10,142,137.9210393703673,436572,143.37793745214677,54109.5363509331,76573
10,143,137.14554095302492,417051,160.45376413005476,57326.11271784491,72127
10,144,137.5679214720118,412388,156.47089533233893,60586.75841730525,66292
10,145,137.26108927121962,376986,156.3308888744673,60535.84872966939,65849
10,146,138.21698888996013,352654,155.46302137275208,60418.36698973864,63247
10,147,136.04321861642507,372918,148.57518448806428,59295.87384857818,69805
10,148,136.49606452171594,427267,154.647642886942,59767.941420409625,67037
10,149,135.87012371545447,360828,147.23178685415607,56660.71939281043,75693
10,15,176.76068130252773,31293,204.34274566177226,58255.18839991888,9862
10,150,136.0569139069572,404330,148.16742360774285,52492.939125572055,87623
10,151,132.49937025643908,427158,135.4269552687249,55056.97750766644,80872
10,152,134.16357926825268,457289,146.27691203063503,55160.30856293728,80755
10,153,136.3542354264401,379643,150.68294133894236,60380.78407935632,68854
10,154,134.31396810053167,403455,145.16668042258172,54650.15527389593,83079
10,155,131.76723761282048,428003,141.2678095576479,55260.96558329448,79351
10,156,135.04941246143605,395123,147.47699148355525,58548.34655654108,73734
10,157,137.91505552807877,355856,142.70857468843252,52933.73290549491,87572
10,158,139.39238885797232,364781,145.32531924956646,57876.875794741376,73137
10,159,136.86914361076728,419307,151.91273004337123,57722.99990362773,72635
10,16,178.1823649086722,44729,201.90588499550765,58828.22169959235,9567
10,160,132.22465202879135,440410,143.75016074216956,55487.977159080736,78193
10,161,132.31813376796762,474882,138.49510801333392,56905.44168689162,76638
10,162,133.6748214026933,372626,136.15576202607522,55048.38792037801,86559
10,163,135.37589829601836,400063,157.3379415022357,60289.31516080925,71078
10,164,132.42956756633015,436830,142.08446534881426,54121.78665120661,82794
10,165,132.19577248813476,438887,140.89873684703898,60238.91884835951,68181
10,166,131.3361667080129,503875,139.1554121603199,56400.29149423542,79017
10,167,132.1356686062362,385137,142.06342843668946,53858.732383205606,88339
10,168,132.5288297711868,404391,147.7834158922504,60153.06009532361,72385
10,169,131.28708580486807,469344,143.38603656164918,55111.642139885174,86042
10,17,170.82798302481189,38409,193.2388928067701,59212.82374492524,10099
10,170,131.77507363199504,380609,142.98004515774699,56383.05198093536,80568
10,171,132.69721254042804,445854,142.1544848237376,52848.03891453471,92716
10,172,131.36233518947267,389159,144.34667940754898,55899.85610929568,82931
10,173,132.27788133030649,443146,143.39845334988186,56444.51686122699,83179
10,174,132.2699551489576,448819,142.50670073394954,56193.1030758505,84627
10,175,137.34977240602018,321186,152.1324382951281,58137.733349194576,71453
10,176,137.85615546277478,462979,155.30745891836824,52014.27971488714,95962
10,177,131.32036070242052,461433,142.5764727029942,54688.93789957454,87906
