Position,Frame,mean_curved,volume_curved,mean_background,mean_mip,volume_mip
24,100,141.7614047032944,190930,160.2166697513727,58270.446288209605,45800
25,100,139.7507032387491,272667,168.18429528806692,59341.85260044368,56798
27,100,143.84740272052093,184597,166.59727639542703,61023.02383413568,33859
28,100,144.81996461444618,329513,144.68858830170655,59331.17065602146,64129
30,100,140.82784425989925,232644,165.85209287796752,58641.60348796217,48223
31,100,142.0791651716302,250830,167.21154324983814,60252.61861601334,43801
32,100,138.81640819287742,267403,168.45303345303344,59364.334729665556,58964
33,100,143.0105351265285,158897,166.86496085236902,60701.58534421575,33816
35,100,148.3649163594955,337217,161.67278134769018,57900.06987341772,67150
36,100,143.20705595819393,169162,149.96607436767323,59984.2420165538,33225
37,100,141.99705341173745,155434,168.01751279024006,60660.49786469532,33953
38,100,139.1507032749204,189684,162.5928774661539,60584.7283863302,35348
39,100,139.06302748975162,265408,160.33556909528443,59526.24286371584,54335
40,100,149.75907894882926,180142,172.95974052029692,59936.28603475769,36999
41,100,143.66421373958144,209002,173.21150846544342,60834.853791612855,37939
44,100,145.5793825115084,185299,166.945257120763,60872.25490196078,33609
45,100,142.03629833534222,245576,160.4260980027759,59155.816986937825,49073
48,100,145.31208341620024,175985,163.7879970145203,60712.27713801368,34214
49,100,153.89496956103812,156050,168.50951750104588,59676.37948799491,31445
24,101,144.34851926680415,191054,164.5967929937309,61204.051247257186,34636
25,101,143.79255166528108,271846,172.06742719589732,58309.45457084189,60875
27,101,138.60830732174895,203435,152.0009839101748,58073.27032855512,47298
28,101,141.05015996107096,386344,139.1536078409283,49415.35530662638,177382
30,101,136.24103133561366,246748,155.16725333613533,59411.98221677142,45661
31,101,142.88189860378625,259201,166.88674864358993,59628.36001953125,51200
32,101,140.74757974924614,315050,163.76473720768698,57259.32308897169,84274
33,101,143.04248693199105,180785,165.4961339339743,60891.203244159304,33044
35,101,148.15472472103573,331046,155.013708183068,55472.67504536237,93690
36,101,142.02118356538998,196001,145.31928101808742,58267.108984088125,40850
37,101,146.04994492740997,160697,168.4729867868095,60884.03211452326,34159
