Position,Quality,Hatch,Escape,Condition,old_condition
1,1,15,166,LIN-29,
2,1,7,170,LIN-29,
3,1,15,197,LIN-29,
4,1,8,177,LIN-29,
5,1,11,200,LIN-29,
6,0,,,LIN-29,
7,1,17,165,LIN-29,
8,1,6,202,LIN-29,
9,1,16,159,LIN-29,
10,1,12,215,LIN-29,
11,1,20,236,LIN-29,
12,1,9,209,LIN-29,
13,0,10,146,LIN-29,
14,1,20,206,LIN-29,
15,1,13,218,LIN-29,
16,1,13,219,LIN-29,
17,0,2,140,LIN-29,
18,1,8,196,LIN-29,
19,1,9,228,LIN-29,
20,1,6,209,LIN-29,
21,1,18,184,LIN-29,
22,1,4,240,LIN-29,
23,0,11,148,LIN-29,
24,0,1,149,LIN-29,
25,1,8,192,LIN-29,
26,1,3,160,LIN-29,
27,1,7,185,LIN-29,
28,1,18,215,LIN-29,
29,1,15,208,LIN-29,
30,1,17,153,LIN-29,
31,0,15,11,LIN-29,
32,1,7,198,LIN-29,
33,0,7,,LIN-29,
34,1,4,183,LIN-29,
35,1,7,203,LIN-29,
36,1,14,209,LIN-14,
37,0,,,LIN-14,
38,0,,,LIN-14,
39,0,,,LIN-14,
40,0,,,LIN-14,
41,1,14,202,LIN-14,
42,1,6,180,LIN-14,
43,0,,,LIN-14,
44,1,11,106,LIN-14,
45,1,8,177,LIN-14,
46,1,13,183,LIN-14,
47,1,3,193,LIN-14,
48,1,12,211,LIN-14,
49,1,10,139,LIN-14,
50,1,3,183,LIN-14,
51,0,,,LIN-14,
52,1,15,206,control,control_14_29
53,1,10,166,control,control_14_29
54,1,16,240,control,control_14_29
55,1,19,228,control,control_14_29
56,1,19,240,control,control_14_29
57,1,17,202,control,control_14_29
58,1,6,182,control,control_14_29
59,1,17,184,control,control_14_29
60,1,13,240,control,control_14_29
61,1,17,210,control,control_14_29
62,1,8,166,control,control_14_29
63,1,15,152,control,control_14_29
64,1,12,190,control,control_14_29
65,1,14,232,control,control_14_29
66,1,5,194,control,control_14_29
67,1,4,192,control,control_14_29
68,1,2,212,control,control_14_29
69,1,9,207,control,control_14_29
70,1,8,198,control,control_14_29
71,1,20,213,control,control_14_29
72,1,9,200,control,control_14_29
73,1,16,197,control,control_14_29
