Position,Quality,Hatch,Escape,Condition,
1,0,,,2883,No Hatch
2,0,,,2883,No Hatch
3,0,,,2883,No Hatch
4,0,,,2883,No Hatch
5,0,,,2883,No Hatch
6,0,,,2883,No Hatch
7,0,,,2883,No Hatch
8,0,,,2883,No Hatch
9,0,,,2883,No Hatch
10,0,,,2883,No Hatch
11,1,?,105,2883,To check
12,0,,,2883,No Hatch
13,1,198,256,2883,Dies
14,1,122,256,2883,
15,1,102,160,2883,Escapes
16,0,<50,88,2883,To check
17,1,74,248,2883,Improved
18,1,145?,235,2883,To check
19,1,182?,256?,2883,To check
20,0,,,2858,
21,0,,,2858,
22,0,,,2858,
23,0,,,2858,
24,0,,,2858,
25,0,,,2858,NAs
26,0,,,2858,
27,0,,,2858,Dead and stuck
28,0,,,2858,
29,0,,,2858,
30,0,,,2858,
31,1,,,2858,Two worms
32,0,,,2858,
33,0,,,2858,
34,0,,,2858,
35,0,,,2858,
36,0,,,2858,
37,0,,,2858,To check
38,0,,,2858,
39,0,,,2858,
40,1,,,2858,"To check, twists"
41,1,4,256,2858,"Improved, To check, Eggs?"
42,1,3,256,2858,"Improved, To check, Eggs?"
43,0,,,2882,
44,0,26,30,2882,To check
45,1,17,183,2882,
46,1,15,178,2882,
47,0,,,2882,
48,1,56,63,2882,Improved
49,1,18,117,2882,
50,1,10,206,2882,
51,0,,,2882,
52,0,,,2882,
53,1,21,154,2882,
54,0,,,2882,
55,0,20,30,2882,To check
56,0,,32,2882,To check
57,0,,,2882,
58,0,9,32/138,2882,worms enters in and out 
59,0,25,216,2882,
60,0,14,168,2882,To check
61,1,9,155,2804,
62,1,29,245,2804,
63,1,20,205,2804,Stack?
64,1,14,256,2804,"To check, eggs"
65,1,13,123,2804,Friend
66,0,9,11,2804,
67,0,7,9,2804,
68,1,20,142,2804,
69,1,26,123,2804,
70,1,<29,200,2804,STACK
71,0,12,28,2804,
72,1,11,119,2804,
73,1,20,159,2804,
74,1,8,11,2804,
75,0,,,2804,
76,1,5,191,2804,Improved
77,1,22,196,2804,2 check
78,1,1,206,2804,Hatched
79,0,,14,2804,
