Position,Frame,mean_curved,volume_curved,mean_background,mean_mip,volume_mip
10,100,131.85290188187435,183381,140.65583224115335,59993.40768473417,38596
11,100,127.46941361309614,177579,135.33790487306683,58577.17071313994,36781
12,100,130.6233524912493,208269,142.59123395318903,59918.403405424535,48041
14,100,132.7861032454803,160685,142.04839065255732,61003.641456831865,33717
15,100,129.40591886204416,187705,124.05675217022387,61159.37161471267,34229
16,100,130.75650753184215,197694,138.49831639798563,58363.52661870504,44480
18,100,128.67093710650823,291461,138.77773908501285,59143.30946356705,58889
19,100,128.4431791980093,438035,130.46664584355898,51417.13759129589,72977
1,100,132.79042137321304,175996,144.43218476312853,61005.23262757045,32825
20,100,127.70429378420832,307491,135.5949220626119,59062.908935361214,63120
21,100,128.7442549543106,225107,137.9544961771083,60968.73742043227,41317
22,100,125.66498373436633,286801,131.8926843806598,55264.50708958101,90767
25,100,126.3389187505814,247251,135.53518966908797,58793.70681141716,58123
26,100,127.63929325676831,283158,137.90931637806636,59037.854838709674,55490
27,100,123.73303860335616,265780,131.83737205644334,58475.009291929135,54133
28,100,126.91770506861276,198141,132.36527609018495,59296.13436240187,37704
29,100,127.7071398415576,201335,135.19564029388548,60720.64725956567,38680
2,100,127.8861693896646,222304,137.12984395849787,60708.629872264486,42588
30,100,129.5310023592039,181841,134.80598798628802,60940.12258953168,33396
32,100,130.9522852064158,240219,142.67683090645318,59420.107744610905,53534
34,100,132.67011273388812,273742,144.74753539810652,60723.729601170875,51927
35,100,130.69368953002947,263974,142.41298748132502,59389.11771614894,57044
36,100,142.0910640432744,155473,148.1169920515732,61460.128002128935,30062
3,100,130.3104537485231,209896,140.51552116253654,59996.62909906405,43699
41,100,128.8269331061369,193665,140.13190933744016,60656.47410512116,41514
42,100,125.52471582460797,225301,136.54950495049505,60824.24018436739,41439
44,100,133.8549796660033,196469,143.4904392130383,60192.08095725621,39070
45,100,128.94305342208568,234360,137.9426255148324,60090.31400924446,46298
46,100,132.45692412446132,223234,138.37522571325388,59230.25823850706,43940
47,100,132.44730858512824,210224,142.39116761911203,60873.37053846832,45388
48,100,129.27709630683984,196715,136.82382609250806,60930.22465030351,37890
49,100,134.09192556910813,216523,142.77206035534655,59400.81861964818,49002
4,100,128.5587231497282,227372,138.6483687352492,59574.50010375596,48190
50,100,128.6968621964625,240168,138.00307809648334,60322.40777398639,47183
52,100,129.6759043673712,198426,139.0803080900571,58748.52518239326,45369
53,100,134.6450078177351,223850,146.7690474886345,60756.38066064107,42928
54,100,134.02616348686837,200432,140.05105183635519,58795.894018385596,39705
55,100,130.15502548249646,167566,138.49982114751754,60795.95422143016,35912
56,100,133.0444173557433,178016,140.72872454120736,59124.12090697838,42603
57,100,129.39626611253613,153995,135.50537721029525,61071.27644208512,32401
58,100,125.52337325250454,343277,134.93445923037802,56101.73837685642,86659
59,100,128.5320991698056,158758,139.94713575916995,60879.75336309434,33377
5,100,127.42823089979409,187943,136.76081359423276,59992.794468517626,37386
60,100,129.4328279109207,179256,136.65837667570142,61426.525276632674,36872
61,100,130.09907375565865,177383,135.93916233567717,60013.82666920711,36739
62,100,128.734553672159,287188,141.80289457332228,60035.32576924455,55834
63,100,127.21310624708934,225465,136.29509965532745,60775.48490302413,42227
64,100,123.69773752282977,268290,136.22536983768234,60655.758921089044,51311
65,100,133.4343172105284,175259,140.6704011203361,60917.32563220111,33415
66,100,125.6517093148218,344290,135.28525353053655,58584.84495886976,65402
67,100,126.4583339701248,327161,135.5758699005828,56608.23118252319,78916
68,100,130.3417495751543,190069,136.00103265780302,61045.20512241904,35452
69,100,129.55575837757272,298565,139.6517937895689,60208.237343113586,54259
70,100,129.67748492644893,203668,144.76806312481193,60730.373458631664,40224
71,100,130.00478189094852,164161,141.1820035149385,60646.54170595799,34995
72,100,126.54470197474816,275782,136.08017313354134,58311.631420172074,64971
73,100,126.23229134313337,254353,136.90228652155713,60029.674626161206,46611
7,100,131.5928514688016,256808,140.70714403953934,59021.00961215166,50561
8,100,131.2706429317096,257679,143.23028820696436,59820.64253028264,52010
9,100,128.3836806769704,171588,135.43853120831287,59054.37465032801,40395
10,101,128.2158918413547,190387,134.69582412107246,60423.40778769006,35646
11,101,125.04846584166808,176970,132.64156074116232,59231.32583634442,40683
12,101,129.57331650854704,279746,138.13978991111625,59429.62705793086,56671
14,101,133.5090207099257,155143,142.77788500798042,60337.40075461152,35780
15,101,132.3049360165499,189971,125.47134543614396,59213.09478616337,41831
16,101,127.05094964428397,234035,132.67449135363748,59589.22096372921,45822
18,101,123.21123343907445,289386,131.19293142001172,59196.35669865919,55638
19,101,125.42804233377777,276753,130.88815624928947,54348.0706427777,90809
1,101,131.5137709514109,198316,140.33650699196667,51407.12337959736,50219
20,101,131.09096005307808,281849,138.1134260455979,60666.923084291186,52200
21,101,127.0108145385617,259558,132.91503203790538,60110.81397651082,44446
22,101,128.0137639719751,265621,136.31748357888677,60084.729468412945,51920
25,101,132.37507826930903,255528,140.16889870551066,59980.5978570763,53665
26,101,129.6036542943281,263033,141.28202224052717,60664.11981650635,49484
27,101,130.97662124299023,245907,144.46426307230078,57766.42960348083,60905
28,101,127.40264788364965,153330,134.03359964160381,60233.47914798206,35680
29,101,131.40625201487245,186116,140.10518378226712,60794.987130659894,40173
2,101,131.00081349229518,256917,139.9121806183374,60591.38952327538,44575
30,101,132.9940725439788,178154,138.22864023223593,60721.41397911499,34666
32,101,124.83454641198027,277256,133.30056639097566,59963.3717538318,47171
34,101,131.94171544475793,284964,143.27345768316627,60301.878943839365,55181
35,101,131.3136729137547,315507,141.17308273707548,58614.99045665661,58994
36,101,141.5967335530727,141683,146.81066316591853,61417.69562011997,29841
3,101,132.1084269137189,213720,143.42098202307486,59689.626192637195,45173
41,101,125.34625322997417,232587,134.71536449203052,60603.62139524032,42860
42,101,125.14978529496638,232179,134.6554807311414,60650.625735755995,42983
44,101,132.5736373518763,222618,141.01680806787257,59598.711153302924,43189
45,101,124.79691724783648,228562,134.13275605000572,60415.71209476599,42969
46,101,126.58045726728362,202070,133.11332671659298,60102.624515657364,41035
47,101,133.42672432885163,248343,143.0321248525153,58747.90263767721,58688
48,101,136.3167387520812,212017,144.86983016078918,61098.77648935362,39497
49,101,128.941410552496,225160,136.82034483785475,59749.9135513517,46571
4,101,126.97335325564158,253652,136.27708720759517,58207.782779456196,59580
