Position,Frame,mean_curved,volume_curved,mean_background,mean_mip,volume_mip
10,100,134.52505769464352,205825,154.35212765957448,60349.43174402428,39535
11,100,138.15418295955845,151651,170.57883906037662,61006.92527912969,31437
12,100,136.66158651411058,153998,171.40429810229986,60831.59543425507,33379
13,100,138.96789554862858,185426,160.47739916550765,60793.78916119252,39580
14,100,129.69673237766997,182212,142.2461177558977,60073.75252233677,36375
15,100,134.7930518029487,166921,151.22967874699899,60903.621773632185,35915
16,100,131.83672029104665,283391,151.6341515079302,60391.543286667635,55144
17,100,132.86335945888695,273806,149.62003142368033,60506.25271267361,46080
18,100,135.63361396944185,237318,151.69054343846435,59165.26403617863,44225
19,100,136.65071676240748,193230,149.21384525887143,59842.14004933347,38108
1,100,137.45873828667348,223997,165.01825546072618,61059.43140962672,40720
20,100,129.6830047531259,318948,142.61669741697418,58608.48589195617,62234
21,100,138.0411355384362,230798,156.52709251101322,59878.159839914144,44726
22,100,134.18250006809578,293704,155.16509350480797,60900.99531021758,52028
23,100,131.4164498473383,319006,139.53210285533996,59842.94820353501,56973
24,100,127.00515121147129,213542,127.83053614388818,59464.664975564345,42970
25,100,129.7221520015532,252379,131.44699356436976,58256.37995456106,61181
26,100,131.25798165137616,218000,132.6792723061921,59814.09893894912,43259
27,100,135.6401842844372,284126,154.95484247091116,60184.79136194287,50729
28,100,145.32032228468236,274664,164.6880349099099,60917.4837329757,43247
29,100,149.71119315471014,224271,170.65224003163112,61040.22386530015,40980
2,100,138.11516587890458,222783,165.7762691343077,60959.210558564744,40801
30,100,143.12536181836523,257726,162.41141971893327,60824.18168255284,48260
31,100,144.3964337430544,296950,160.5672004417449,60693.22754090384,49323
33,100,153.84603243804048,181207,164.34904093529164,60973.8904829934,32899
34,100,145.24279032215017,299736,165.87034879204538,60758.28847704878,57034
35,100,145.07995011410074,263802,164.0120481927711,60497.27614924758,48510
37,100,150.96197230550095,234487,175.53380941754074,61053.94646840149,48420
38,100,146.6948016591924,303039,165.08371487566208,60535.69424247214,50612
39,100,150.5952912505168,229785,170.09843227961963,60561.191947454536,42173
3,100,141.26183587719925,195634,168.09385524559954,61034.80784467983,35591
41,100,149.9955350435697,212992,165.72072933601098,61237.447911850824,38934
43,100,144.33223552255006,296651,165.37619072138406,60650.8670698705,55059
44,100,145.82381325028277,315631,170.2472721208367,60846.73649561997,56963
45,100,141.6169706776503,285516,162.0202968190805,60636.15584665397,51987
46,100,141.6163914585182,294141,163.74785475094183,60949.927752969124,52625
47,100,145.03548687956692,285204,166.40170301364012,60875.55893832943,53802
49,100,144.519722080482,286126,160.58802635769052,60335.64139593174,51865
4,100,144.3599473797774,143671,179.16828383395207,61214.00515836509,30436
50,100,151.57967334190877,210679,168.3152963979971,61126.67342809988,37566
5,100,139.80053975466507,224917,170.23209615328102,61055.52469796986,40145
