Position,Frame,mean_curved,volume_curved,mean_background,mean_mip,volume_mip
12,100,141.4213805850387,180706,169.56976960814754,61377.67543270774,34261
13,100,133.98085300332278,238053,156.75198081172857,60574.541669343955,46689
14,100,138.27972964148108,214382,163.30955815254188,61061.57683168317,40400
16,100,140.66361785692254,243155,170.81227042032359,61096.655654439855,45283
17,100,138.5742151909219,169022,168.41472132246176,60566.29971681739,32841
19,100,141.3554295682512,192612,165.74936036842777,60778.81852791878,37824
1,100,140.3292428484179,283259,162.0863274526678,60797.33349613961,53233
2,100,146.3761379183066,249249,178.55031678986273,60293.70474973036,50066
3,100,140.34681975275822,240736,168.6266507996401,61422.116524517856,44437
48,100,140.02994245396562,205227,158.99192922551606,60672.24644479922,40715
49,100,137.07474393553645,238026,155.44121111527548,61121.696821298196,44924
4,100,142.35944900941945,204577,172.04476805189023,60931.870795289135,37785
50,100,137.77530432762862,189434,160.76216893903776,60935.55345075884,36108
51,100,141.72358255212055,181982,168.46407921844886,61709.31299766871,33029
52,100,148.4396623003612,183832,180.81115660184238,61414.269122560225,34122
53,100,135.81733310134084,183914,154.4530014261636,60539.43308722383,35621
54,100,137.54365671450472,195033,156.5824936181647,61197.347566858814,40421
55,100,138.66976521933037,156955,161.98128668343622,61056.36096805882,33593
56,100,137.22089668818995,192040,152.44603471803498,61197.14506619201,35956
57,100,131.29114907303455,164785,144.01939184908846,61335.88360623397,30414
58,100,135.91855850946064,293585,159.94637734801518,59993.80864507791,55708
59,100,143.78929539978427,198382,170.94322595718583,61390.98346473938,36528
5,100,140.28160167636037,372235,162.3088477118678,58646.61144968568,83356
60,100,141.33470989968365,181127,157.3181609647398,60723.514494339004,36566
61,100,139.86385441254853,170729,150.5285525468533,58720.49326249698,41410
62,100,137.44388904147212,291280,161.70902166640934,60989.617029811285,54845
63,100,135.81866392005313,234956,156.66094214959398,58398.098492040306,54776
64,100,138.4581907645271,167463,159.52667242410152,60148.03625959686,34777
65,100,143.07591825714775,251863,179.34754305490702,60259.4851232747,54918
66,100,137.56902043393887,216943,154.26005642651464,60263.61124962829,43717
67,100,140.01062810912603,247457,176.5071389106982,60954.84633467768,46367
68,100,141.91991111342136,153904,162.36511235734736,61174.82104918618,33607
69,100,138.42922069599027,187244,156.66627018905723,60759.11298251494,35802
6,100,144.9490283727572,257712,183.1791622760801,61046.20007643414,49716
70,100,135.91335224161722,182636,152.47779437729187,60336.41769002328,37377
71,100,135.72122447877283,222168,149.83315323103523,58752.23266725315,47742
72,100,137.47897574010207,236893,155.8707018967441,60023.03107655934,49909
73,100,140.71507294694644,217761,159.4361739745403,59347.77191205638,47394
7,100,144.55589699878874,178328,175.01329361265937,61561.31992476641,32964
8,100,143.3289815778391,287317,172.39961512166713,60725.86769339083,56815
9,100,146.31860422589065,180459,174.76039867109634,60979.77820779147,35141
12,101,140.90454308434363,153420,164.84210124747264,61451.58344749538,33578
13,101,134.46271722625275,237080,159.6688954718578,60504.59818067754,47820
14,101,137.94504455908861,216903,162.8578936611288,60932.701357786056,42422
16,101,138.15388236666473,240034,167.1494112293077,60777.269520950795,49306
17,101,136.09840326773116,148115,164.09348928513006,61200.70476588092,31138
19,101,135.75485109706173,201037,156.67294937841257,60715.82876577287,40576
1,101,138.57692468546335,286930,159.44280102296395,60669.10233544884,55621
2,101,139.23964702761987,279002,166.37831342334064,60559.14507174415,51154
3,101,135.16019309467995,251690,159.86826859964043,61318.61711431742,45050
48,101,138.20500516193172,209224,153.73770238536645,59958.35429914913,44660
49,101,139.56802807151553,209465,163.79754659869366,61028.75616951018,45425
4,101,141.6449986721299,210864,166.99222821070185,60996.336079574,39812
50,101,143.07699385938545,163013,171.89969233050377,61132.25884708911,34955
51,101,138.49097075277544,172495,161.16234202980635,61258.37907154979,36534
52,101,148.0000695521909,186910,182.09191791579883,61311.27491582491,35640
53,101,135.48281829289397,190697,153.64467720200906,60228.94490657959,38589
54,101,134.9288873027449,257788,151.32153891422686,58240.270888616724,58788
55,101,140.615756786157,158116,163.07846051550828,60637.88414174416,35811
56,101,131.13649937222166,176814,143.4915767620733,61151.903731383405,37198
57,101,130.18113378446674,152357,141.11535731187885,60388.096347434686,32881
58,101,134.70071598687858,267044,159.07825288562435,59709.85709796802,57284
59,101,142.83903090289454,199237,171.24289550933733,60448.87570123221,40821
5,101,137.87477166790603,385951,163.11256428801028,60131.81625874873,70153
60,101,142.8339497699484,157356,160.40537918186757,60917.12398662056,35278
61,101,143.02980418567418,157394,160.24295043599713,61220.14896542473,29819
62,101,133.028883438609,291932,154.5215142313037,59982.08728436668,64983
63,101,144.96803828568986,210627,178.03365325834454,59858.360222932766,45036
64,101,141.61761221458747,173039,167.68200722710847,61624.55615213967,31103
65,101,142.8132122135141,296786,176.8907416018955,61009.9870620051,51399
66,101,139.00664005772376,218974,156.82892405982287,59562.81598186571,48968
67,101,142.42451351575423,253297,184.12616701617304,61209.23891933061,47267
68,101,138.24826020514737,181918,154.569670428028,59402.37349479557,44097
69,101,145.9249013525775,189564,169.65850838311815,59627.415570992474,41603
6,101,145.77010211546212,267932,183.94053292894282,61143.6650445743,50141
70,101,144.28914731214408,183678,163.07860850141253,61135.90305252388,35184
71,101,141.2515861958363,199534,157.0526906188904,60751.98004774469,39795
72,101,136.51779605090022,246993,153.14646726388787,58695.571587388375,54870
73,101,141.35736273620384,257934,158.97099962700486,58275.94787917738,62240
7,101,148.2640588477932,174552,181.82767851383602,61463.38273552612,33595
8,101,134.84754151584647,289528,155.44641541214864,61072.875505566044,51922
9,101,137.91953941509794,225713,159.66854533594258,59465.13561746052,48246
12,102,143.73731190601902,181824,168.32100856761247,61328.4580682984,34115
13,102,134.46319602659227,246237,159.5294006683195,60802.833808127354,47740
14,102,140.99283804979345,226335,168.67630938773118,61073.7057353113,42805
16,102,138.9931724843951,251043,168.31758392955422,60512.87584632185,50365
17,102,137.52259424831783,173584,164.36789648539954,61222.23968809676,31420
19,102,132.7679619870988,179518,154.4005191525186,60955.994625470594,38515
1,102,143.2884124978749,299987,168.19986027375992,60535.17345606808,58989
2,102,136.8042783548817,259726,162.99591516103692,60796.22867420349,48650
3,102,142.3808481805234,260487,171.02957105719238,61344.22598629526,49326
48,102,137.36519942441797,243927,153.60526923965796,61229.703975918725,39865
49,102,135.9827276434417,247679,155.15557769460673,60683.77026729842,50019
4,102,135.9560971176873,187072,158.05905213922136,60662.63403862953,41212
50,102,136.56052778746755,180603,155.8137206468399,61289.458150699225,33537
51,102,146.7179842435419,209311,174.1030239407459,61132.55923094391,39633
52,102,143.83650483783669,164433,178.28478269358428,61193.60412472112,36754
53,102,142.08846539938494,188277,154.00582037129954,45442.28640844093,64827
54,102,134.0422090642953,227155,151.40102797733778,59998.7376511539,49701
55,102,135.6586358529931,155775,156.0774249331866,60982.420677310394,34637
56,102,138.58277562814487,180651,156.67251868590301,60798.14862173261,40667
57,102,138.4919422500681,183550,150.13191237049057,57943.324398715515,45777
58,102,135.96853749057342,303663,160.25379113618726,60017.62517560637,59081
59,102,136.58376695421825,232538,158.47584673728258,59220.793794569254,50343
5,102,138.2661562542194,399938,163.02807613730607,59139.24460431655,75199
60,102,135.76307092914044,201229,153.7502901050651,61380.838914423286,36552
61,102,141.70316798689186,180651,159.89637753406447,60673.00300308889,34964
62,102,135.01222942043603,309336,157.6531183434884,60305.293097229056,60990
63,102,140.19694944952016,247693,166.3043847595253,60805.29507162386,42793
64,102,139.03003880536048,190953,165.21949201875057,60581.60754472598,37059
65,102,138.5039401506468,293136,168.83427422119627,60014.437817258884,56736
66,102,137.2701952941801,226018,152.85492465478714,60573.49317879204,45813
67,102,142.767080535654,266590,180.47529784675922,61299.32976458803,47916
68,102,145.5994126744486,217256,164.05595604984592,59070.79299256381,44781
69,102,141.81733564543276,196070,164.47639388489208,60397.22031675837,38894
6,102,140.44780010583239,232443,176.18380159124814,61435.22259439708,49260
70,102,143.2714114840106,158011,160.33569105691058,61189.09721358562,33771
71,102,136.45676423040925,235060,151.62602013778485,58914.13306637301,49945
72,102,133.07176977322226,247026,148.52188977157422,59084.36735200944,48297
73,102,135.45067287300398,256512,152.44632270660222,57132.08183632734,66132
7,102,142.3012818294048,173346,170.60442618605884,61481.28864260797,32393
8,102,142.17888111287053,302497,171.5731020842842,60507.99696692423,59016
9,102,141.12261606673326,207273,165.85551833568405,60717.55588359342,40307
12,103,139.48795330816858,160542,162.38127887911762,61556.52484196845,33854
13,103,132.2252540760109,250122,153.444052367802,60870.84139346865,47249
14,103,137.01954580820433,232633,162.40131468060002,60690.00673766081,44229
16,103,132.35542230503228,253324,155.93874352875332,60746.930397904456,48102
17,103,136.89986444169514,168931,161.61802484733627,61144.215386106,30963
19,103,137.94121897772544,213113,161.54023126595584,60642.80548375408,41395
1,103,140.4048358421933,341988,161.50352956995272,59348.687375745525,78468
2,103,136.7421441895617,228907,165.16981776411785,61163.90358402739,47907
3,103,133.64586823003907,265068,156.3917412853583,61231.24103834464,48038
48,103,133.68566724554003,221695,148.45817104149026,60861.80966993999,43992
49,103,132.88008594605034,248528,150.3323989658457,60659.31450495357,48349
4,103,138.8258996295643,226760,161.6169822501905,60081.98687585499,46784
50,103,142.22098871861027,161239,165.05058840413318,60815.93458153484,35678
51,103,144.93124195832678,216062,172.64757659218037,61110.44300751149,41137
52,103,138.23068195042475,171860,163.22229965156794,61506.43217885183,35918
53,103,135.1917947114075,198238,152.75432525951558,60407.57002561913,37472
54,103,131.74574170088385,229904,147.97203914519673,59666.056473912606,49545
55,103,131.58527757525258,153616,147.88443457338516,60987.92388006425,33618
56,103,129.6918999762736,236024,139.82094448541565,61106.388976982096,39100
57,103,135.4955212787789,180297,150.77512992341357,60857.6621732505,34124
58,103,132.30153817415894,310498,151.23995301240203,58344.15770165873,69511
59,103,137.69810777787737,211973,161.06591569127872,60294.70286780135,42890
5,103,133.06118168624877,402408,154.4152325302169,59441.44145789635,84862
60,103,136.69458170453134,209254,152.56369869085967,61361.830558223926,37476
61,103,136.58586980548188,180960,149.43778315222946,60665.40084351367,34380
62,103,137.9636402064893,312268,164.31956779159265,60442.412529513116,62684
63,103,141.64480489860293,258686,170.1708611458358,60280.10738281955,49859
64,103,141.45687764019073,220628,164.60242229987128,61090.34214513772,36958
65,103,142.5471208186956,274974,177.3391188586356,60166.917022605645,59233
66,103,138.99684412023385,231948,154.64982046678637,60622.68211846876,44957
67,103,144.74499557061375,257372,183.27964297412382,61016.53541530717,53635
68,103,143.8285322497706,198358,160.86080619587756,58119.50692094073,46092
69,103,136.08236232158646,253344,152.87660285766623,59052.35680973024,48673
6,103,142.11733407503198,276842,174.44982040988802,61336.85445038669,50299
70,103,137.10712051535512,209409,153.73186833062036,59666.75335140835,39834
71,103,137.756343729681,238385,150.35841479524439,56761.03080145068,58731
72,103,136.10899790286177,262739,154.65501541722875,60329.38246025819,46865
73,103,136.43441915271256,269873,151.71352203413062,59930.902902788126,52329
7,103,148.0924797724521,156099,182.5330401618929,61377.77147350593,33064
8,103,143.88361396524826,297424,173.09147533293373,61271.96637263789,57364
9,103,144.65462966001576,243776,171.37310147479639,59630.76439485407,48038
12,104,137.97939636760304,196179,161.85047948531198,61380.04155419223,36675
13,104,136.53326105625567,257343,162.5532568458085,60445.01705239771,54010
14,104,136.6646114077464,235980,161.6598614858287,60808.81225504468,44651
16,104,132.05042825370285,253588,153.76252577319588,60656.13562179941,48038
17,104,141.56365180162402,167238,165.99452567389648,61126.31108036806,31082
19,104,136.7896941707322,207436,158.21040361358007,60664.64874670967,42169
1,104,141.63619733591364,349313,162.2423281572375,58743.480180827144,84943
2,104,139.53957714371438,306629,163.54306458604248,60906.008190472465,51157
3,104,140.6571095683536,269503,167.28338405022342,61406.590233245,49433
48,104,131.5624836258842,255739,143.87158293083704,60032.252632024014,47302
49,104,137.32908219785088,288864,156.4609293750591,60595.62569951811,51464
4,104,139.28482011225202,231978,165.42435049872418,60504.8655744928,49931
50,104,139.97491220018358,200456,157.1480418054439,60209.73111088158,38726
51,104,140.38485770100667,220627,163.99338332598148,60557.92486023269,46327
52,104,146.39491953755882,206556,178.91406496373384,60992.10400019549,40923
53,104,134.4324064491387,190351,150.30938795871919,61208.15762459139,34874
54,104,139.12771107587236,238374,159.3962895377129,59920.397152291334,52393
55,104,140.60677683638156,164413,162.0272624274182,60831.54789716322,35357
56,104,134.15856784606757,215731,149.39881729087426,60334.142577949504,44516
57,104,137.3481243566875,185563,153.31931448502533,60262.465642223004,36833
58,104,137.94831674658604,323451,164.52189037089556,60177.134098479604,60642
59,104,141.60492153078096,245574,166.12574895334552,58329.74369213372,56596
5,104,133.72173628394415,415462,156.10480532725418,58590.68532055248,95351
60,104,137.1132843484167,210541,153.01825881486482,60726.42198852773,41840
61,104,139.6324928639391,189180,154.8425257237809,61335.73343944436,34555
62,104,130.02113590551994,309568,149.05508020115832,60453.93480857163,58612
63,104,141.37627582202666,261792,169.31387879808503,59875.20300651856,52619
