Position,Quality,Hatch,Escape,Condition,old_condition
1,1,2,175,HBL-1,
2,1,23,175,HBL-1,
3,0,,,HBL-1,
4,1,9,175,HBL-1,
5,1,14,175,HBL-1,
6,1,6,175,HBL-1,
7,1,15,174,HBL-1,
8,1,3,175,HBL-1,
9,1,5,175,HBL-1,
10,0,,,HBL-1,
11,1,17,,HBL-1,
12,1,16,167,HBL-1,
13,1,4,172,HBL-1,
14,1,3,175,HBL-1,
15,0,27,175,HBL-1,
16,1,24,165,HBL-1,
17,1,23,175,HBL-1,
18,0,,,HBL-1,
19,1,15,175,HBL-1,
20,1,7,175,HBL-1,
21,1,19,175,HBL-1,
22,1,22,175,HBL-1,
23,1,23,175,HBL-1,
24,1,11,175,HBL-1,
25,1,12,167,HBL-1,
26,1,3,175,HBL-1,
27,1,6,175,HBL-1,
28,1,11,160,HBL-1,
29,1,19,175,HBL-1,
30,1,2,175,HBL-1,
31,1,19,175,HBL-1,
32,1,11,175,HBL-1,
33,1,3,175,HBL-1,
34,1,9,175,HBL-1,
35,1,7,175,HBL-1,
36,1,9,175,HBL-1,
37,1,4,175,HBL-1,
38,1,16,175,HBL-1,
39,0,,,HBL-1,
40,1,8,175,control,control_HBL1
41,1,4,175,control,control_HBL1
42,1,7,175,control,control_HBL1
43,1,14,175,control,control_HBL1
44,1,10,175,control,control_HBL1
45,1,22,175,control,control_HBL1
46,1,1,175,control,control_HBL1
47,1,9,175,control,control_HBL1
48,1,10,175,control,control_HBL1
49,1,8,175,control,control_HBL1
50,1,4,175,control,control_HBL1
51,1,21,175,control,control_HBL1
52,1,25,175,control,control_HBL1
53,0,5,,control,control_HBL1
54,0,,,control,control_HBL1
55,1,16,175,control,control_HBL1
56,1,12,175,control,control_HBL1
57,1,5,175,control,control_HBL1
58,1,8,175,control,control_HBL1
59,0,,,control,control_HBL1
60,1,14,175,control,control_HBL1
61,1,19,175,control,control_HBL1
62,1,6,175,control,control_HBL1
63,1,22,175,control,control_HBL1
64,1,10,175,control,control_HBL1
65,1,17,175,control,control_HBL1
66,1,4,175,control,control_HBL1
