Position,Quality,Hatch,Escape,Condition,old_condition
1,1,13,211,control,control_Lin28
2,1,14,198,control,control_Lin28
3,1,15,204,control,control_Lin28
4,1,19,185,control,control_Lin28
5,1,9,184,control,control_Lin28
6,1,13,208,control,control_Lin28
7,1,17,204,control,control_Lin28
8,1,7,203,control,control_Lin28
9,1,13,211,control,control_Lin28
10,1,15,183,control,control_Lin28
11,1,19,194,control,control_Lin28
12,1,26,216,control,control_Lin28
13,1,15,205,control,control_Lin28
14,1,23,218,control,control_Lin28
15,1,20,201,control,control_Lin28
16,1,6,186,control,control_Lin28
17,1,10,193,control,control_Lin28
18,1,8,201,control,control_Lin28
19,1,19,210,control,control_Lin28
20,1,10,199,control,control_Lin28
21,1,13,191,control,control_Lin28
22,1,2,181,control,control_Lin28
23,1,5,187,control,control_Lin28
24,1,20,201,control,control_Lin28
25,1,10,196,control,control_Lin28
26,1,14,190,control,control_Lin28
27,1,7,202,control,control_Lin28
28,1,9,130,LIN-28,
29,1,10,137,LIN-28,
30,1,4,170,LIN-28,
31,1,5,138,LIN-28,
32,0,,,LIN-28,
33,1,17,167,LIN-28,
34,1,5,185,LIN-28,
35,1,6,123,LIN-28,
36,0,,,LIN-28,
37,1,9,137,LIN-28,
38,1,5,148,LIN-28,
39,1,12,181,LIN-28,
40,0,,,LIN-28,
41,1,14,196,LIN-28,
42,0,32,173,LIN-28,
43,1,4,178,LIN-28,
44,1,2,169,LIN-28,
45,1,3,181,LIN-28,
46,1,2,136,LIN-28,
47,1,3,131,LIN-28,
48,0,,,LIN-28,
49,1,10,196,LIN-28,
50,1,16,198,LIN-28,
51,0,,,LIN_41,0
52,0,,,LIN_41,0
53,0,,,LIN_41,0
54,0,,,LIN_41,0
55,0,,,LIN_41,0
56,0,,,LIN_41,0
57,0,,,LIN_41,0
58,0,,,LIN_41,0
59,0,,,LIN_41,0
60,0,,,LIN_41,0
61,0,,,LIN_41,0
62,0,27,187,LIN_41,1
63,0,,,LIN_41,0
64,0,,,LIN_41,0
65,0,,,LIN_41,0
66,0,,,LIN_41,0
67,0,,,LIN_41,0
68,0,,,LIN_41,0
69,0,,,LIN_41,0
70,0,24,153,LIN_41,1
71,0,,,LIN_41,0
72,0,19,177,LIN_41,0
73,0,26,147,LIN_41,1
74,0,,,LIN_41,0
75,0,,,LIN_41,0
76,0,,,LIN_41,0
77,0,,,LIN_41,0
78,0,,,LIN_41,0
