Position,Quality,Hatch,Escape,Condition
1,0,,,control
2,0,,,control
3,0,,,control
4,0,,,control
5,0,,,control
6,0,,,control
7,0,,,control
8,0,,,control
9,0,,,control
10,0,,,control
11,0,,,control
12,0,,,control
13,0,,,control
14,0,,,control
15,0,,,control
16,0,,,control
17,0,,,control
18,0,,,control
19,0,,,control
20,0,,,control
21,0,,,control
22,0,,,control
23,0,,,control
24,1,17,215,LIN42BC
25,1,3,209,LIN42BC
26,0,,,LIN42BC
27,1,14,216,LIN42BC
28,1,2,200,LIN42BC
29,0,,,LIN42BC
30,1,13,239,LIN42BC
31,1,12,240,LIN42BC
32,1,8,228,LIN42BC
33,1,15,240,LIN42BC
34,0,,,LIN42BC
35,1,2,217,LIN42BC
36,1,15,228,LIN42BC
37,1,10,216,LIN42BC
38,1,16,226,LIN42BC
39,1,3,226,LIN42BC
40,1,20,240,LIN42BC
41,1,15,218,LIN42BC
42,0,,,LIN42BC
43,0,,,LIN42BC
44,1,11,209,LIN42BC
45,1,5,182,LIN42BC
46,0,,,LIN42BC
47,0,,,LIN42BC
48,1,16,205,LIN42BC
49,1,26,239,LIN42BC
50,0,,,LIN42BC
